,Unnamed: 0,가게이름,카테고리,위치,평점,리뷰수,위도,경도
91,91,토담골 논현점,한정식,서울 강남구 봉은사로37길 5 태양빌딩 지하1층,3.4,25,37.5086677,127.0367468
92,92,육개옥,국밥,서울 강남구 봉은사로 167 1층,3.6,154,37.5072082,127.0322447
93,93,포크댄스(Pork Dance),한식,서울 강남구 강남대로118길 31 지하 1층,4.5,173,37.5070645,127.025623
94,94,청평갈비,갈비,서울 강남구 봉은사로1길 16,4.2,36,37.5058325,127.0249288
95,95,육갑식당 논현직영점,육류 | 고기,서울 강남구 학동로2길 19 1층 102호,4.8,16,37.51002039999999,127.0229469
96,96,한우리한정식,한정식,서울 강남구 도산대로 308 코오라빌딩 3 4 5층,3.0,3,37.5214858,127.0352152
97,97,반피차이,태국음식,서울 강남구 강남대로124길 23 1층,4.0,112,37.5093367,127.0244964
98,98,후문포차,실내포장마차,서울 강남구 강남대로120길 28 1층,4.5,72,37.5073463,127.0258105
99,99,이층고깃집 강남구청역점,육류 | 고기,서울 강남구 선릉로129길 9-4 2층,4.6,273,37.5159371,127.0406939
100,100,회식의달인 신논현점,육류 | 고기,서울 강남구 학동로2길 39 2층,3.9,195,37.508991,127.0234388
101,101,주방류,중국요리,서울 강남구 강남대로124길 27,4.4,47,37.5094004,127.0247941
102,102,스시도우,초밥 | 롤,서울 강남구 선릉로129길 13 2층,4.1,222,37.5160445,127.0404923
103,103,와쏘골뱅이탕 압구정본점,호프 | 요리주점,서울 강남구 논현로150길 34 동원빌딩 1층,4.7,20,37.5196804,127.0312157
104,104,한교방서울면옥,냉면,서울 강남구 학동로45길 8 2층,2.8,59,37.5167961,127.0380778
105,105,멘야산다이메 신논현점,일본식라면,서울 강남구 강남대로114길 23 에스코빌딩 1층 101호,3.4,54,37.5062414,127.0261144
106,106,심야식당모모,호프 | 요리주점,서울 강남구 강남대로122길 5 2층,4.3,45,37.5076129,127.0237225
107,107,쁠로13,제과 | 베이커리,서울 강남구 도산대로8길 13 1층,3.9,108,37.5161037,127.0223291
108,108,땅코참숯구이 논현직영점,육류 | 고기,서울 강남구 언주로134길 13 1층,4.2,95,37.5168273,127.0367098
109,109,기세끼 논현점,일본식주점,서울 강남구 강남대로118길 8 이화빌딩 2층,1.8,69,37.5061376,127.0244543
110,110,일치,이탈리안,서울 강남구 언주로149길 8 지하 1층,3.5,171,37.5203159,127.0333041
111,111,음세이로무시,일본식주점,서울 강남구 논현로149길 51 1층,3.9,51,37.5171399,127.0245181
112,112,광명수산 영동점,회,서울 강남구 학동로2길 39,2.4,37,37.508991,127.0234388
113,113,유진양꼬치,양꼬치,서울 강남구 선릉로127길 6,4.1,16,37.5156702,127.0412279
114,114,마장동박현규,한식,서울 강남구 강남대로128길 27 새호시티라이프빌딩 1층,4.4,25,37.5104036,127.0243833
115,115,첨벙아구찜 신사본점,아구,서울 강남구 강남대로150길 12,3.9,33,37.5158143,127.0209042
116,116,구루메스시,초밥 | 롤,서울 강남구 학동로4길 15 동화상가 1층 116호,4.4,117,37.5092726,127.0239086
117,117,136길 육미,퓨전일식,서울 강남구 언주로136길 9 2층,3.8,211,37.5173415,127.0363366
118,118,화포식당 논현점,삼겹살,서울 강남구 논현로131길 12,3.0,17,37.514417,127.0292264
119,119,논현장어,장어,서울 강남구 학동로 106 1층,3.7,22,37.51108000000001,127.0226118
120,120,손국시,국수,서울 강남구 학동로2길 19,3.3,103,37.51002039999999,127.0229469
121,121,유림상회,호프 | 요리주점,서울 강남구 봉은사로1길 39 1 2층,0.0,99,37.5072384,127.0238756
122,122,사람사는고깃집 김일도 논현점,육류 | 고기,서울 강남구 봉은사로37길 10,3.5,59,37.5090588,127.0369702
123,123,끌레르봉봉,제과 | 베이커리,서울 강남구 논현로114길 8 1층 103호,4.5,40,37.5084701,127.0340585
124,124,코스모왕양꼬치 논현본점,양꼬치,서울 강남구 봉은사로1길 34 2층,3.5,44,37.5069181,127.0243706
125,125,도산뚝배기,육류 | 고기,서울 강남구 도산대로54길 18 소프트시티 1층,0.0,155,0,0
126,126,창우수산 활새우직판장 강남구청점,,서울 강남구 학동로 338 강남파라곤 로비층 107호,3.8,93,37.5164665,127.0404191
127,127,상무초밥 강남역점,초밥 | 롤,서울 강남구 봉은사로 111 1층,4.0,150,37.50516289999999,127.0256851
128,128,화로상회 강남논현점,육류 | 고기,서울 강남구 학동로2길 31 2층,3.6,28,37.5093935,127.0231903
129,129,삼호짱뚱이,해물 | 생선,서울 강남구 도산대로34길 11,4.5,15,37.51959009999999,127.0309988
130,130,원강,육류 | 고기,서울 강남구 학동로6길 18,3.7,33,37.510589,127.0241475
131,131,고향집,한식,서울 강남구 언주로134길 17 1층,4.0,27,37.5168955,127.037003
132,132,현해,복어,서울 강남구 도산대로 318 SB타워 B동 1 2층,3.9,10,37.5219756,127.0363404
133,133,날웃게해,디저트카페,서울 강남구 논현로119길 17-4,3.8,6,37.5098071,127.0311818
134,134,뽕사부,중국요리,서울 강남구 선릉로133길 3 1층,3.8,6,37.5181277,127.0404996
135,135,미우가,갈비,서울 강남구 언주로113길 14 1층,1.7,15,37.5093652,127.0362073
136,136,휴가,갤러리카페,서울 강남구 논현로119길 16,4.6,70,37.5103809,127.0308294
137,137,세광양대창 강남구청점,곱창 | 막창,서울 강남구 선릉로133길 8,2.8,60,37.5182233,127.0400651
138,138,농장사람들 논현직영점,육류 | 고기,서울 강남구 강남대로122길 9 1 2층,3.0,37,37.5078226,127.0239155
139,139,방일해장국 논현점,해장국,서울 강남구 봉은사로37길 31,4.2,17,37.5101178,127.0355665
140,140,제이콥스라운지커피,커피전문점,서울 강남구 논현로 660 1층,4.4,19,37.5128782,127.0316636
141,141,낙타브루잉 신논현점,피자,서울 강남구 강남대로118길 22 2층,3.0,84,37.5066494,127.0252201
142,142,외계인방앗간 본점,제과 | 베이커리,서울 강남구 논현로149길 19 1층,2.9,81,37.518064,127.0268703
143,143,팔당족발&보쌈,족발 | 보쌈,서울 강남구 학동로45길 7 2층 201호,4.8,419,37.51672,127.0378039
144,144,이태리부대찌개 학동점,찌개 | 전골,서울 강남구 학동로33길 15 1층,3.9,12,37.5156477,127.0322793
145,145,통영다찌,해물 | 생선,서울 강남구 논현로136길 12,2.4,36,37.5159459,127.0310651
146,146,해랑,매운탕 | 해물탕,서울 강남구 봉은사로1길 39 유성빌딩 2층,3.0,24,37.5072384,127.0238756
147,147,바베네,이탈리안,서울 강남구 강남대로136길 6,4.2,3,37.5128342,127.0211807
148,148,토가라시,일본식라면,서울 강남구 학동로25길 14 1층,3.9,86,37.51459699999999,127.0289786
149,149,수목금토카페,카페,서울 강남구 강남대로136길 63 1층,3.8,221,37.51366489999999,127.023287
150,150,던킨 두산건설점,도넛,서울 강남구 언주로 726 두산빌딩 1층,2.8,2,37.5193432,127.0351842
151,151,허니도우 논현점,도넛,서울 강남구 강남대로122길 39-9 1층,0.0,0,37.5089438,127.0256891
